Year,Month,Datum,Nabijeni
2017,7,2017-07-01 0:00:00,0
2017,7,2017-07-02 0:00:00,0
2017,7,2017-07-03 0:00:00,0
2017,7,2017-07-04 0:00:00,0
2017,7,2017-07-05 0:00:00,0
2017,7,2017-07-06 0:00:00,0
2017,7,2017-07-07 0:00:00,0
2017,7,2017-07-08 0:00:00,0
2017,7,2017-07-09 0:00:00,0
2017,7,2017-07-10 0:00:00,0
2017,7,2017-07-11 0:00:00,0
2017,7,2017-07-12 0:00:00,0
2017,7,2017-07-13 0:00:00,0
2017,7,2017-07-14 0:00:00,66
2017,7,2017-07-15 0:00:00,0
2017,7,2017-07-16 0:00:00,0
2017,7,2017-07-17 0:00:00,218
2017,7,2017-07-18 0:00:00,523
2017,7,2017-07-19 0:00:00,266
2017,7,2017-07-20 0:00:00,231
2017,7,2017-07-21 0:00:00,689
2017,7,2017-07-22 0:00:00,733
2017,7,2017-07-23 0:00:00,742
2017,7,2017-07-24 0:00:00,213
2017,7,2017-07-25 0:00:00,1491
2017,7,2017-07-26 0:00:00,1268
2017,7,2017-07-27 0:00:00,403
2017,7,2017-07-28 0:00:00,1859
2017,7,2017-07-29 0:00:00,2125
2017,7,2017-07-30 0:00:00,1357
2017,7,2017-07-31 0:00:00,2529
2017,8,2017-08-01 0:00:00,1844
2017,8,2017-08-02 0:00:00,1599
2017,8,2017-08-03 0:00:00,1719
2017,8,2017-08-04 0:00:00,1569
2017,8,2017-08-05 0:00:00,1899
2017,8,2017-08-06 0:00:00,2555
2017,8,2017-08-07 0:00:00,1748
2017,8,2017-08-08 0:00:00,2654
2017,8,2017-08-09 0:00:00,1734
2017,8,2017-08-10 0:00:00,1853
2017,8,2017-08-11 0:00:00,1557
2017,8,2017-08-12 0:00:00,2454
2017,8,2017-08-13 0:00:00,1538
2017,8,2017-08-14 0:00:00,1895
2017,8,2017-08-15 0:00:00,2472
2017,8,2017-08-16 0:00:00,2061
2017,8,2017-08-17 0:00:00,2240
2017,8,2017-08-18 0:00:00,1764
